Statistical profiling result from isolate-0x40c1d20-v8-25259.log, (34379 ticks, 2082 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1091    3.2%          /lib/x86_64-linux-gnu/libc-2.24.so
    129    0.4%          [vdso]
     36    0.1%          /lib/x86_64-linux-gnu/libm-2.24.so
      7    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.22

 [JavaScript]:
   ticks  total  nonlib   name
    757    2.2%    2.3%  Builtin: FastNewClosure
    551    1.6%    1.7%  Builtin: KeyedStoreIC_Megamorphic_Strict
    550    1.6%    1.7%  Stub: GetPropertyStub
    486    1.4%    1.5%  Builtin: KeyedLoadIC_Megamorphic
    403    1.2%    1.2%  Builtin: HasProperty
    330    1.0%    1.0%  LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
    314    0.9%    0.9%  Builtin: StringEqual
    278    0.8%    0.8%  Builtin: CompileLazy
    245    0.7%    0.7%  LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:273:25
    227    0.7%    0.7%  LazyCompile: *api.expand /home/matt/dev/ld-hasher/node_modules/jsonld/lib/expand.js:55:14
    216    0.6%    0.7%  Builtin: StringLessThan
    201    0.6%    0.6%  Builtin: ArgumentsAdaptorTrampoline
    195    0.6%    0.6%  LazyCompile: *serializeQuad /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/NQuads.js:171:23
    180    0.5%    0.5%  Builtin: KeyedLoadIC
    176    0.5%    0.5%  Stub: StringAddStub_CheckNone_NotTenured
    153    0.4%    0.5%  Stub: CEntryStub
    149    0.4%    0.4%  Builtin: ObjectProtoToString
    137    0.4%    0.4%  LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:220:38
    137    0.4%    0.4%  Builtin: RegExpReplace
    135    0.4%    0.4%  Builtin: StringIndexOf
    127    0.4%    0.4%  LazyCompile: *api.createNodeMap /home/matt/dev/ld-hasher/node_modules/jsonld/lib/nodeMap.js:47:21
    123    0.4%    0.4%  Builtin: CallFunction_ReceiverIsNullOrUndefined
    112    0.3%    0.3%  LazyCompile: *iterator /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:75:18
    111    0.3%    0.3%  Builtin: ForInPrepare
    109    0.3%    0.3%  LazyCompile: *InsertionSort native array.js:542:23
    107    0.3%    0.3%  LazyCompile: *api.expandIri /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:450:17
    102    0.3%    0.3%  LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:46:33
     98    0.3%    0.3%  LazyCompile: *aB native array.js:531:12
     94    0.3%    0.3%  Builtin: FastCloneRegExp
     91    0.3%    0.3%  Builtin: Call_ReceiverIsNullOrUndefined
     88    0.3%    0.3%  Builtin: FastArrayPush
     84    0.2%    0.3%  Builtin: KeyedStoreICStrict
     82    0.2%    0.2%  Builtin: ObjectKeys
     80    0.2%    0.2%  LazyCompile: *_graphToRDF /home/matt/dev/ld-hasher/node_modules/jsonld/lib/toRdf.js:73:21
     78    0.2%    0.2%  LazyCompile: *_findContextUrls /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:912:26
     71    0.2%    0.2%  Builtin: ToObject
